ZGHP_PARA_AFFECTOT                                                                                           27.08.2026 /
11:02:43
* SERVICE         :  PARA
* POSTE DE TRAVAIL:  %%%%%%%%
* O.T.            :  %%%%%%%%
* PERIODE de       :  20220101   a   20260827                                                                     PAGE :
    1
------------------------------------------------------------------------------------------------------------------------------
         D A T E     T  POSTE TR  LIBELLE POSTE TRAV.                        AFFECT      HEURES              TRANSF
         --------    -  --------  -------------------                        ------      ------              ------
    ** OT:  00005188F576 = REDRESSAGE DES POUTRELLES
         20220403    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           0,0          X
         20220403    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220403    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           3,0          X
         20220404    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           4,5          X
         20220404    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100           6,0          X
         20220405    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           6,0          X
         20220406    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220407    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           6,0          X
         20220408    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220408    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           5,0          X
         20220410    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100          16,0          X
         20220410    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           8,0          X
         20220410    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           8,0          X
         20220411    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220411    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           4,0          X
         20220411    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           1,0          X
         20220412    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,0          X
         20220412    0  PELEPAS0  PADI/PARA/SOUDAGE                          50-36100           2,0          X
         20220414    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220415    0  PELEPAA0  PADI/PARA/ASSEMBLAGE, TRACAGE              50-36100           8,0          X
         20220415    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           2,5          X
         20220419    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           2,0          X
         20220420    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           2,0          X
         20220421    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           1,0          X
         20220421    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           7,0          X
         20220708    0  PELEPAO0  PADI/PARA/OXYCOUPAGE                       50-36100           8,0          X
         20220711    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           4,0          X
         20220713    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           4,0          X
         20220805    0  PELEPAM0  PADI/PARA/MISE � LONGUEUR                  50-36100           3,0          X
         **TOTAL OT:                                                                          738,0
    ** OT:  00005188Z130 = 1100632329 ASH K�LN WIB A43 IN HERNE
         20220121    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           2,0          X
         20220124    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100          16,0          X
         20220127    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           8,0          X
         20220127    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           2,0          X
         20220128    0  PELEPAF1  PADI/PARA/FORAGE NUMERIQUE                 50-36100           7,0          X
         20220128    0  PELEPAP0  PADI/PARA/PRESSE, CINTRAGE                 50-36100           8,0          X
         20220201    0  PELEPAR0  PADI/PARA/ROBOT                            50-36100           8,0          X
